26/10/22,444717.37,340904.73,401325.49,444750.35,341536.87,401693.61,1
26/10/22,444750.35,341536.87,401693.61,444781.94,342342.89,402133.22,2
27/10/22,444781.94,342342.89,402133.22,444812.32,343134.32,402434.50,0
27/10/22,444812.32,343134.32,402434.50,444849.52,343866.82,402823.64,1
27/10/22,444849.52,343866.82,402823.64,444873.08,344717.18,403037.07,2
28/10/22,444873.08,344717.18,403037.07,444903.92,345507.72,403372.40,0
28/10/22,444903.92,345507.72,403372.40,444932.08,346422.05,403838.61,1
28/10/22,444932.08,346422.05,403838.61,444965.60,347088.81,404043.07,2
29/10/22,444965.60,347088.81,404043.07,444975.18,348020.39,404330.40,0
29/10/22,444975.18,348020.39,404330.40,444984.68,348763.71,404808.63,1
29/10/22,444984.68,348763.71,404808.63,444994.34,349883.56,404905.07,2
30/10/22,444994.34,349883.56,404905.07,445022.16,350508.19,405125.07,0
30/10/22,445022.16,350508.19,405125.07,445098.28,351237.79,405423.43,1
30/10/22,445098.28,351237.79,405423.43,445077.81,351757.46,405565.07,2
31/10/22,445077.81,351757.46,405565.07,445105.04,352369.34,405878.07,0
31/10/22,445105.04,352369.34,405878.07,445134.51,353118.50,406257.84,1
31/10/22,445134.51,353118.50,406257.84,445159.50,353593.10,406504.07,2
01/11/22,445159.50,353593.10,406504.07,445201.67,354318.99,406884.65,0
